id,Calendar_age,Calendar_age_error,Reservoir_Min_Range_at_95.0%,Reservoir_Max_Range_at_95.0%,Mode,MidRange,Median
V28-238,10670.0,281.0,-1640.5,937.5,404.5,-352.0,420.5
V28-238,13605.0,559.0,-3750.0,1643.0,325.0,-1054.0,406.0
V28-238,21688.0,450.0,-3225.0,1639.0,857.0,-793.0,828.0
V28-238,23145.0,283.0,-1846.0,1430.0,692.0,-208.0,754.0
V28-238,25111.0,1282.0,-12024.5,3584.5,826.5,-4220.0,757.5
KNR110-50,16142.0,375.0,-2266.0,1282.0,626.0,-492.0,629.0
KNR110-50,19433.0,169.0,-621.0,1066.0,802.0,222.0,760.0
KNR110-50,20176.0,133.0,-475.0,1020.0,767.0,272.0,763.0
KNR110-50,21338.0,262.0,-1449.0,1209.0,753.0,-120.0,756.0
KNR110-50,22278.0,265.0,-1730.0,1446.0,886.0,-142.0,842.0
KNR110-66,19070.0,124.0,-440.0,1015.0,737.0,288.0,738.0
KNR110-66,19547.0,145.0,-453.0,1046.0,697.0,296.0,731.0
KNR110-66,20933.0,157.0,-506.0,1069.0,678.0,282.0,730.0
KNR110-66,22001.0,151.0,-708.0,1183.0,882.0,238.0,870.0
KNR110-82a,16044.0,129.0,-385.0,855.0,628.0,235.0,629.0
KNR110-82a,17379.0,106.0,-62.0,987.0,689.0,462.0,749.0
KNR110-82a,18500.0,143.0,-706.0,1144.0,831.0,219.0,828.0
KNR110-82a,19724.0,309.0,-1869.0,1332.0,712.0,-268.0,729.0
KNR110-82a,20408.0,220.0,-1158.0,1204.0,774.0,23.0,760.0
V28-122,19671.0,117.0,-275.0,980.0,694.0,352.0,710.0
V28-122,20259.0,171.0,-804.0,1099.0,784.0,148.0,772.0
V28-122,21149.5,470.0,-3357.0,1641.0,701.0,-858.0,729.0
50-37KL,1236.0,70.0,-53.0,903.0,766.0,425.0,747.0
50-37KL,5972.0,93.0,-144.0,968.0,702.0,412.0,734.0
50-37KL,8647.0,138.0,-433.0,927.0,609.0,247.0,634.0
50-37KL,11364.0,134.0,-298.0,917.0,576.0,310.0,601.0
50-37KL,13950.0,203.0,-657.0,1044.0,678.0,194.0,666.0
50-37KL,17258.0,188.0,-704.0,1311.0,958.0,304.0,943.0
50-37KL,18174.0,130.0,-257.0,1359.0,1164.0,551.0,1079.0
50-37KL,18280.0,135.0,-363.0,1382.0,832.0,510.0,952.0
50-37KL,19939.0,192.0,-749.0,1307.0,946.0,279.0,946.0
50-37KL,20177.0,223.0,-947.0,1379.0,977.0,216.0,967.0
MD97-2138,21449.0,203.0,-822.0,1253.0,908.0,216.0,918.0
MD97-2138,21830.0,234.0,-1240.0,1430.0,1045.0,95.0,1021.0
MD98-2181,18867.0,161.0,-662.0,1387.0,879.0,362.0,926.0
MD98-2181,19088.0,165.0,-624.0,1280.0,880.0,328.0,895.0
MD98-2181,19445.0,186.0,-635.0,1267.0,958.0,316.0,916.0
RC11-238,19305.0,142.0,-504.0,1022.0,762.0,259.0,757.0
RC11-238,20909.0,187.0,-728.0,1124.0,716.0,198.0,738.0
V19-27,18095.0,109.0,-386.0,1123.0,916.0,368.0,894.0
V19-27,21155.0,170.0,-509.0,1043.0,726.0,267.0,731.0
V21-40,17799.0,132.0,-487.0,1043.0,843.0,278.0,827.0
V21-40,21007.5,317.0,-1876.0,1336.0,686.0,-270.0,719.0
MD01-2386,820.0,83.0,-196.0,889.0,673.0,346.0,675.0
MD01-2386,4976.0,111.0,-272.0,893.0,622.0,310.0,635.0
MD01-2386,9940.0,127.0,-394.0,801.0,618.0,204.0,618.0
MD01-2386,10893.0,128.0,-412.0,782.0,587.0,185.0,590.0
MD01-2386,12290.0,105.0,-214.0,866.0,739.0,326.0,735.0
MD01-2386,12830.0,86.0,-243.0,1042.0,706.0,400.0,727.0
MD01-2386,13884.0,122.0,-360.0,884.0,621.0,262.0,632.0
MD01-2386,14049.0,188.0,-529.0,954.0,618.0,212.0,611.0
MD01-2386,15196.0,164.0,-533.0,1037.0,734.0,252.0,735.0
MD01-2386,16195.0,150.0,-335.0,1068.0,812.0,366.0,806.0
MD01-2386,16339.0,130.0,-196.0,1051.0,811.0,428.0,813.0
MD01-2386,17135.0,133.0,-263.0,1193.0,881.0,465.0,898.0
MD01-2386,17239.0,140.0,-207.0,1196.0,935.0,494.0,922.0
MD01-2386,18056.5,173.0,-698.0,1364.0,1067.0,333.0,1034.0
MD01-2386,18689.0,119.0,-244.0,1316.0,992.0,536.0,1005.0
MD01-2386,19232.0,132.0,-295.0,1162.0,896.0,434.0,904.0
RC24-8GC,3445.0,37.0,181.0,627.0,559.0,404.0,538.0
RC24-8GC,10287.0,63.0,-45.0,700.0,464.0,328.0,484.0
RC24-8GC,12780.0,32.0,263.0,813.0,628.0,538.0,640.0
RC24-8GC,13600.0,60.0,-47.0,717.0,528.0,335.0,556.0
RC24-8GC,15402.0,68.0,75.0,776.0,650.0,426.0,651.0
RC24-8GC,15717.0,67.0,104.0,815.0,682.0,460.0,679.0
RC24-8GC,16563.0,96.0,-49.0,907.0,742.0,429.0,740.0
RC24-8GC,19008.0,116.0,-310.0,1097.0,800.0,394.0,809.0
Nesmeyanov25-1-GGC15,4682.0,52.0,575.0,1115.0,1039.0,845.0,1039.0
Nesmeyanov25-1-GGC15,10718.0,86.0,426.0,1119.0,983.0,772.0,966.0
Nesmeyanov25-1-GGC15,16339.0,89.0,471.0,1373.0,1197.0,922.0,1200.0
Nesmeyanov25-1-GGC18,11049.0,77.0,316.0,1166.0,1058.0,741.0,1050.0
Nesmeyanov25-1-GGC18,14035.0,98.0,265.0,1218.0,1092.0,742.0,1030.0
Nesmeyanov25-1-GGC20,11205.0,47.0,470.0,1184.0,1034.0,827.0,1032.0
Nesmeyanov25-1-GGC20,14453.0,117.0,439.0,1113.0,989.0,776.0,990.0
Nesmeyanov25-1-GGC27,10859.0,95.0,221.0,1100.0,947.0,660.0,953.0
Nesmeyanov25-1-GGC27,13541.0,65.0,391.0,1237.0,1057.0,814.0,1059.0
RNDB-GGC15,13589.0,60.0,436.0,1204.0,1030.0,820.0,1045.0
RNDB-GGC5,14110.0,120.0,230.0,1243.0,937.0,736.0,983.0
RNDB-GGC5,21979.0,132.0,-35.0,1700.0,1436.0,832.0,1422.0
RNDB-PC11,13935.0,72.0,341.0,1173.0,1045.0,757.0,1041.0
RNDB-PC11,14019.0,102.0,232.0,1223.0,1085.0,728.0,1038.0
RNDB-PC11,16602.0,114.0,281.0,1421.0,1222.0,851.0,1224.0
RNDB-PC13,13958.0,90.0,238.0,1208.0,1060.0,723.0,1048.0
RNDB-PC13,14918.0,142.0,101.0,1346.0,1135.0,724.0,1127.0
RNDB-PC13,17793.0,79.0,543.0,1529.0,1395.0,1036.0,1379.0
RNDB-PC13,19555.0,140.0,138.0,1586.0,1228.0,862.0,1276.0
VINO19-4-GGC17,13661.5,41.0,576.0,1134.0,1033.0,855.0,1035.0
VINO19-4GGC-37,13691.0,138.0,-162.0,1342.0,1048.0,590.0,1041.0
VINO19-4GGC-37,13722.0,118.0,11.0,1291.0,1067.0,651.0,1046.0
MD97-2106,8800.0,200.0,-626.0,795.0,530.0,84.0,532.0
MD97-2106,14980.64516,200.0,-684.0,651.0,476.0,-16.0,431.0
MD97-2106,18358.62069,200.0,-437.0,1420.0,888.0,492.0,948.0
EW0408-87JC,594.0,74.0,90.0,1299.0,1039.0,694.0,1040.0
EW0408-87JC,1254.0,76.0,205.0,1194.0,1060.0,700.0,1026.0
EW0408-87JC,1702.0,83.0,189.0,1099.0,933.0,644.0,926.0
EW0408-87JC,2699.5,78.0,279.0,1168.0,1069.0,724.0,1027.0
EW0408-87JC,3233.0,87.0,133.0,1135.0,967.0,634.0,965.0
EW0408-87JC,3651.0,80.0,270.0,1063.0,922.0,666.0,918.0
EW0408-87JC,4499.0,121.0,1.0,1186.0,943.0,594.0,958.0
EW0408-87JC,5162.0,89.0,198.0,1139.0,1010.0,668.0,1006.0
EW0408-87JC,6170.0,40.0,631.0,1149.0,1088.0,890.0,1070.0
EW0408-87JC,7773.0,34.0,674.0,1098.0,1034.0,886.0,1030.0
EW0408-87JC,8428.5,84.0,139.0,1211.0,922.0,675.0,960.0
EW0408-87JC,8986.0,144.0,-381.0,1216.0,981.0,418.0,953.0
EW0408-87JC,9736.0,94.0,170.0,1056.0,894.0,613.0,897.0
EW0408-87JC,10151.5,35.0,502.0,1096.0,1020.0,799.0,1009.0
EW0408-87JC,10546.0,35.0,559.0,1011.0,933.0,785.0,927.0
EW0408-87JC,10819.0,84.0,18.0,1048.0,843.0,533.0,847.0
EW0408-87JC,11084.0,40.0,448.0,1089.0,973.0,768.0,985.0
EW0408-87JC,11350.0,48.0,545.0,976.0,895.0,760.0,890.0
EW0408-87JC,11708.0,40.0,628.0,1043.0,978.0,836.0,975.0
EW0408-87JC,11992.0,44.0,668.0,1040.0,947.0,854.0,952.0
EW0408-87JC,12436.0,51.0,607.0,1205.0,1150.0,906.0,1132.0
EW0408-87JC,13526.0,43.0,582.0,1143.0,1000.0,862.0,1015.0
EW0408-87JC,13722.0,55.0,316.0,1089.0,974.0,702.0,964.0
EW0408-87JC,14019.5,35.0,575.0,1118.0,1023.0,846.0,1007.0
EW0408-87JC,14191.0,58.0,282.0,1008.0,879.0,645.0,880.0
EW0408-87JC,14393.0,70.0,272.0,1066.0,916.0,669.0,917.0
EW0408-87JC,14593.0,61.0,529.0,1072.0,973.0,800.0,973.0
EW0408-87JC,14747.0,48.0,564.0,1113.0,1024.0,838.0,1012.0
EW0408-87JC,15219.0,49.0,575.0,1174.0,1074.0,874.0,1070.0
EW0408-87JC,15901.0,44.0,683.0,1192.0,1101.0,938.0,1100.0
EW0408-87JC,16276.0,41.0,699.0,1245.0,1150.0,972.0,1148.0
EW0408-87JC,16486.5,49.0,684.0,1335.0,1225.0,1010.0,1222.0
EW0408-87JC,16586.0,44.0,604.0,1306.0,1175.0,955.0,1174.0
EW0408-87JC,16672.0,42.0,597.0,1419.0,1266.0,1008.0,1266.0
EW0408-87JC,16747.0,43.0,396.0,1199.0,1051.0,798.0,1050.0
EW0408-87JC,16843.0,37.0,790.0,1327.0,1237.0,1058.0,1236.0
EW0408-87JC,16916.0,36.0,600.0,1350.0,1232.0,975.0,1230.0
EW0408-87JC,16999.0,48.0,623.0,1320.0,1220.0,972.0,1207.0
202-1240,11760.0,200.0,-1294.0,525.0,233.0,-384.0,223.0
202-1240,15000.0,200.0,-1415.0,431.0,118.0,-492.0,103.0
202-1240,17600.0,200.0,-477.0,1578.0,1219.0,550.0,1229.0
202-1240,23500.0,200.0,-575.0,1542.0,1229.0,484.0,1215.0
202-1240,2730.0,200.0,-500.0,842.0,763.0,171.0,662.0
202-1240,3756.5,200.0,-381.0,923.0,648.0,271.0,647.0
202-1240,8261.5,200.0,-520.0,948.0,600.0,214.0,600.0
202-1240,9567.0,200.0,-840.9146500000006,713.0853499999994,205.08534999999938,-64.0,297.0853499999994
202-1240,10445.375,200.0,-995.5532199999998,486.4467800000002,147.44678000000022,-255.0,123.44678000000022
202-1240,12852.0,200.0,-1147.0,748.0,198.0,-200.0,253.0
202-1240,13572.0,200.0,-833.0,607.0,152.0,-113.0,226.0
202-1240,14494.25,200.0,-856.0,253.0,74.0,-302.0,81.0
202-1240,16451.5,200.0,-557.0,911.0,638.0,177.0,644.0
202-1240,16973.75,200.0,-340.0,1093.0,923.0,376.0,847.0
202-1240,18291.0,200.0,211.0,2115.0,1529.0,1163.0,1653.0
