Event,Latitude,Longitude,Cal age [ka BP],"Cal age std e [±] (calculated, 1 sigma)","Age dated [ka] (planktic, Age, 14C AMS)","Age std e [±] (planktic, calculated, 1 sigma)","Age dated [ka] (Coeval atmospheric 14C age, A...)"
KNR195-5-CDH41,-1.265666667,-89.698,26171.0,618.0,17950.0,70.0,21971.0
KNR195-5-CDH41,-1.265666667,-89.698,27277.5,562.0,24700.0,210.0,22999.0
KNR195-5-CDH41,-1.265666667,-89.698,27519.0,398.0,24000.0,120.0,23289.0
KNR195-5-CDH41,-1.265666667,-89.698,28783.0,475.0,27200.0,190.0,24559.0
KNR195-5-CDH41,-1.265666667,-89.698,29612.0,273.0,26200.0,260.0,25288.0
KNR195-5-GGC43,-1.252166667,-89.6845,1381.0,52.0,1990.0,50.0,1511.0
KNR195-5-GGC43,-1.252166667,-89.6845,4667.0,58.0,4630.0,40.0,4166.0
KNR195-5-GGC43,-1.252166667,-89.6845,6278.0,36.0,6050.0,35.0,5436.0
KNR195-5-GGC43,-1.252166667,-89.6845,8327.0,52.0,8029.999999999999,50.0,7467.4
KNR195-5-GGC43,-1.252166667,-89.6845,9311.0,49.0,8800.0,40.0,8315.2
KNR195-5-GGC43,-1.252166667,-89.6845,11116.0,34.0,10150.0,35.0,9658.0
KNR195-5-GGC43,-1.252166667,-89.6845,12533.0,69.0,11150.0,70.0,10535.0
TTN013-18,-2.0,-140.0,17753.5,603.0,15300.0,55.0,14479.0
TTN013-18,-2.0,-140.0,22189.5,506.0,19125.0,75.0,18229.0
TTN013-18,-2.0,-140.0,24685.5,377.0,21375.0,140.0,20531.0
TTN013-18,-2.0,-140.0,26061.5,327.0,22650.0,120.0,21947.0
TTN013-18,-2.0,-140.0,27362.5,329.0,24225.0,180.0,23192.0
TTN013-18,-2.0,-140.0,28556.5,526.0,22333.333329999998,190.0,24243.0
TTN013-18,-2.0,-140.0,30101.5,686.0,22513.333329999998,180.0,25902.0
TTN013-18,-2.0,-140.0,31790.0,466.0,28545.0,180.0,27908.0
TT154-10,-10.28333333,-111.3333333,14363.0,251.0,12780.0,160.0,12397.0
TT154-10,-10.28333333,-111.3333333,18520.0,232.0,16040.0,225.0,15114.0
TT154-10,-10.28333333,-111.3333333,19101.0,273.0,16560.0,240.0,15833.0
TT154-10,-10.28333333,-111.3333333,20078.0,439.0,17390.0,370.0,16607.0
TT154-10,-10.28333333,-111.3333333,23263.0,228.0,20110.0,220.0,19368.0
TT154-10,-10.28333333,-111.3333333,7013.0,120.0,6715.0,110.0,6163.8
V28-238,1.016666667,160.4833333,7542.0,148.0,7252.5,160.0,6625.0
V28-238,1.016666667,160.4833333,8885.0,139.0,8485.0,100.0,7969.0
V28-238,1.016666667,160.4833333,10670.0,281.0,9852.5,220.0,9432.0
V28-238,1.016666667,160.4833333,13605.0,559.0,12165.0,460.0,11797.0
V28-238,1.016666667,160.4833333,21688.0,450.0,18700.0,390.0,17801.0
V28-238,1.016666667,160.4833333,23145.0,283.0,20000.0,260.0,19284.0
V28-238,1.016666667,160.4833333,25111.0,1282.0,21832.5,1290.0,20799.0
KNR110-50,4.867,-43.217,16142.0,375.0,14045.0,295.0,13399.0
KNR110-50,4.867,-43.217,19433.0,169.0,16853.0,130.0,16061.0
KNR110-50,4.867,-43.217,20176.0,133.0,17450.0,115.0,16682.0
KNR110-50,4.867,-43.217,21338.0,262.0,18405.0,205.0,17596.0
KNR110-50,4.867,-43.217,22278.0,265.0,19195.0,245.0,18309.0
KNR110-66,4.567,-43.383,19070.0,124.0,16555.0,105.0,15806.0
KNR110-66,4.567,-43.383,19547.0,145.0,16945.0,115.0,16207.999999999998
KNR110-66,4.567,-43.383,20933.0,157.0,18100.0,120.0,17380.0
KNR110-66,4.567,-43.383,22001.0,151.0,18920.0,135.0,18035.0
KNR110-82a,4.333,-43.483,16044.0,129.0,13970.0,100.0,13346.0
KNR110-82a,4.333,-43.483,17379.0,106.0,15050.0,75.0,14296.0
KNR110-82a,4.333,-43.483,18500.0,143.0,16020.0,145.0,15143.0
KNR110-82a,4.333,-43.483,19724.0,309.0,17085.0,255.0,16358.0
KNR110-82a,4.333,-43.483,20408.0,220.0,17650.0,190.0,16861.0
V28-122,11.933,-78.683,19671.0,117.0,17045.0,100.0,16385.0
V28-122,11.933,-78.683,20259.0,171.0,17525.0,145.0,16743.0
V28-122,11.933,-78.683,21149.5,470.0,18245.0,405.0,17546.0
50-37KL,18.91666667,115.75,1236.0,70.0,2040.0,70.0,1254.0
50-37KL,18.91666667,115.75,5972.0,93.0,5960.0,80.0,5213.599999999999
50-37KL,18.91666667,115.75,8647.0,138.0,8500.0,110.0,7909.0
50-37KL,18.91666667,115.75,11364.0,134.0,10560.0,100.0,9987.0
50-37KL,18.91666667,115.75,13950.0,203.0,12730.0,140.0,12008.0
50-37KL,18.91666667,115.75,17258.0,188.0,15140.0,150.0,14150.0
50-37KL,18.91666667,115.75,18174.0,130.0,15910.0,110.0,14782.0
50-37KL,18.91666667,115.75,18280.0,135.0,16000.0,120.0,15078.0
50-37KL,18.91666667,115.75,19939.0,192.0,17460.0,160.0,16533.0
50-37KL,18.91666667,115.75,20177.0,223.0,17660.0,180.0,16682.0
MD97-2138,-1.0,146.0,21449.0,203.0,18636.0,150.0,17769.0
MD97-2138,-1.0,146.0,21830.0,234.0,18950.0,200.0,17901.0
MD98-2181,6.0,126.0,18867.0,161.0,16520.0,150.0,15601.0
MD98-2181,6.0,126.0,19088.0,165.0,16725.0,150.0,15821.0
MD98-2181,6.0,126.0,19445.0,186.0,17025.0,150.0,16073.0
RC11-238,-1.5,-85.8,19305.0,142.0,16750.0,120.0,15986.0
RC11-238,-1.5,-85.8,20909.0,187.0,18080.0,150.0,17344.0
V19-27,-0.5,-82.1,18095.0,109.0,15635.0,110.0,14720.0
V19-27,-0.5,-82.1,21155.0,170.0,18270.0,130.0,17548.0
