id,UncalibratedMinRange_at_95.0%,UncalibratedMaxRange_at_95.0%,Mode,MidRange,Median
Nesmeyanov25-1-GGC20,11766.0,12486.0,12403.0,12126.0,12408.0
Nesmeyanov25-1-GGC27,9084.0,9643.0,9590.0,9364.0,9580.0
Nesmeyanov25-1-GGC27,11149.0,11842.0,11718.0,11496.0,11700.0
RNDB-GGC15,11244.0,11863.0,11826.0,11554.0,11752.0
RNDB-GGC5,11405.0,12366.0,12266.0,11886.0,12234.0
RNDB-GGC5,17369.0,18250.0,17973.0,17810.0,18018.0
RNDB-PC11,11526.0,12145.0,12033.0,11836.0,12035.0
RNDB-PC11,11414.0,12295.0,12031.0,11854.0,12083.0
RNDB-PC11,13103.0,13847.0,13751.0,13475.0,13726.0
RNDB-PC13,11430.0,12235.0,12033.0,11832.0,12043.0
RNDB-PC13,12059.0,12717.0,12505.0,12388.0,12524.0
RNDB-PC13,13939.0,14666.0,14482.0,14302.0,14513.0
RNDB-PC13,15250.0,16426.0,16355.0,15838.0,16227.0
VINO19-4-GGC17,11416.0,11876.0,11831.0,11646.0,11824.0
VINO19-4GGC-37,10883.0,12055.0,11831.0,11469.0,11831.0
VINO19-4GGC-37,10964.0,12058.0,11828.0,11511.0,11845.0
MD97-2106,6679.0,8206.0,7967.0,7442.0,7954.0
MD97-2106,11815.0,12851.0,12504.0,12333.0,12574.0
MD97-2106,13888.0,15349.0,15218.0,14618.0,15141.0
EW0408-87JC,48.0,813.0,586.0,430.0,610.0
EW0408-87JC,861.0,1512.0,1284.0,1186.0,1293.0
EW0408-87JC,1202.0,1928.0,1881.0,1565.0,1790.0
EW0408-87JC,2088.0,2745.0,2467.0,2416.0,2510.0
EW0408-87JC,2473.0,3156.0,3053.0,2814.0,3036.0
EW0408-87JC,2930.0,3515.0,3384.0,3222.0,3403.0
EW0408-87JC,3386.0,4164.0,4003.0,3775.0,4031.0
EW0408-87JC,4031.0,4577.0,4491.0,4304.0,4491.0
EW0408-87JC,5114.0,5434.0,5307.0,5274.0,5336.0
EW0408-87JC,6600.0,7009.0,6941.0,6804.0,6947.0
EW0408-87JC,6968.0,7787.0,7714.0,7378.0,7672.0
EW0408-87JC,7204.0,8257.0,7972.0,7730.0,8024.0
EW0408-87JC,8074.0,8841.0,8784.0,8458.0,8768.0
EW0408-87JC,8695.0,9028.0,8907.0,8862.0,8916.0
EW0408-87JC,9067.0,9420.0,9327.0,9244.0,9329.0
EW0408-87JC,9088.0,9637.0,9587.0,9362.0,9571.0
EW0408-87JC,9373.0,9683.0,9640.0,9528.0,9618.0
EW0408-87JC,9483.0,10042.0,9955.0,9762.0,9962.0
EW0408-87JC,9851.0,10150.0,10085.0,10000.0,10087.0
EW0408-87JC,9993.0,10346.0,10301.0,10170.0,10298.0
EW0408-87JC,10196.0,10549.0,10372.0,10372.0,10382.0
EW0408-87JC,11262.0,11785.0,11720.0,11524.0,11689.0
EW0408-87JC,11394.0,12003.0,11831.0,11698.0,11838.0
EW0408-87JC,11736.0,12195.0,12046.0,11966.0,12070.0
EW0408-87JC,11772.0,12356.0,12301.0,12064.0,12290.0
EW0408-87JC,11851.0,12447.0,12398.0,12149.0,12394.0
EW0408-87JC,12066.0,12512.0,12460.0,12289.0,12456.0
EW0408-87JC,12052.0,12507.0,12384.0,12280.0,12405.0
EW0408-87JC,12362.0,12859.0,12752.0,12610.0,12758.0
EW0408-87JC,12863.0,13318.0,13246.0,13090.0,13243.0
EW0408-87JC,13170.0,13579.0,13495.0,13374.0,13495.0
EW0408-87JC,13280.0,13730.0,13642.0,13505.0,13645.0
EW0408-87JC,13363.0,13800.0,13712.0,13582.0,13714.0
EW0408-87JC,13402.0,13848.0,13778.0,13625.0,13773.0
EW0408-87JC,13451.0,13875.0,13811.0,13663.0,13808.0
EW0408-87JC,13540.0,13906.0,13842.0,13723.0,13842.0
EW0408-87JC,13587.0,13951.0,13875.0,13769.0,13877.0
EW0408-87JC,13607.0,14090.0,13936.0,13848.0,13949.0
202-1240,9249.0,10346.0,10056.0,9798.0,10122.0
202-1240,11824.0,12867.0,12504.0,12346.0,12591.0
202-1240,13461.0,14654.0,14457.0,14058.0,14453.0
202-1240,18157.0,19856.0,19517.0,19006.0,19485.0
202-1240,1595.0,2921.0,2489.0,2258.0,2577.0
202-1240,2396.0,3735.0,3491.0,3066.0,3487.0
202-1240,6052.0,7824.0,7441.0,6938.0,7443.0
202-1240,7468.0,8842.0,8700.0,8155.0,8672.0
202-1240,8114.0,9547.0,9218.0,8830.0,9252.0
202-1240,9964.0,11323.0,11047.0,10644.0,10966.0
202-1240,10262.0,12043.0,11827.0,11152.0,11739.0
202-1240,11306.0,12509.0,12405.0,11908.0,12411.0
202-1240,12638.0,13835.0,13625.0,13236.0,13627.0
202-1240,13014.0,14224.0,13851.0,13619.0,13928.0
202-1240,13866.0,15292.0,15221.0,14579.0,15086.0
202-1240,14905.0,16598.0,16362.0,15752.0,16357.0
202-1240,17329.0,18743.0,18255.0,18036.0,18283.0
202-1240,19064.0,20607.0,20366.0,19836.0,20383.0
202-1240,20554.0,22447.0,21979.0,21500.0,21991.0
SO161/5_22SL,6606.0,9520.0,8890.0,8063.0,8898.0
SO161/5_22SL,9442.0,10126.0,10035.0,9784.0,10045.0
SO161/5_22SL,10005.0,10668.0,10375.0,10336.0,10466.0
SO161/5_22SL,11182.0,12126.0,12024.0,11654.0,12009.0
SO161/5_22SL,11810.0,12502.0,12421.0,12156.0,12428.0
SO161/5_22SL,12075.0,12707.0,12519.0,12391.0,12560.0
SO161/5_22SL,12169.0,12900.0,12749.0,12534.0,12756.0
SO161/5_22SL,12601.0,13230.0,13092.0,12916.0,13103.0
SO161/5_22SL,12740.0,13398.0,13278.0,13069.0,13286.0
SO161/5_22SL,13070.0,13672.0,13584.0,13371.0,13568.0
SO161/5_22SL,13276.0,13855.0,13775.0,13566.0,13764.0
SO161/5_22SL,13551.0,14204.0,14140.0,13878.0,14079.0
SO161/5_22SL,13749.0,14510.0,14445.0,14130.0,14426.0
SO161/5_22SL,14196.0,15104.0,14733.0,14650.0,14769.0
SO161/5_22SL,14764.0,15462.0,15367.0,15113.0,15327.0
SO161/5_22SL,14849.0,15729.0,15602.0,15289.0,15587.0
SO161/5_22SL,14961.0,15831.0,15749.0,15396.0,15736.0
SO161/5_22SL,15149.0,15968.0,15813.0,15558.0,15833.0
SO161/5_22SL,15618.0,16362.0,16096.0,15990.0,16129.0
CH84-14,8588.0,9573.0,9229.0,9080.0,9331.0
CH84-14,8902.0,9927.0,9586.0,9414.0,9614.0
CH84-14,9293.0,10154.0,10031.0,9724.0,10034.0
CH84-14,9441.0,10415.0,10355.0,9928.0,10327.0
CH84-14,10321.0,11692.0,11374.0,11006.0,11408.0
CH84-14,10882.0,12223.0,12026.0,11552.0,11993.0
CH84-14,11238.0,12443.0,12399.0,11840.0,12316.0
CH84-14,11702.0,12610.0,12470.0,12156.0,12457.0
CH84-14,12150.0,13252.0,12934.0,12701.0,13018.0
CH84-14,13468.0,14766.0,14467.0,14117.0,14507.0
JF-FI-19PC,8716.0,10007.0,9589.0,9362.0,9631.0
JF-FI-19PC,9940.0,11241.0,11048.0,10590.0,10916.0
JF-FI-19PC,10405.0,12216.0,11831.0,11310.0,11879.0
JF-FI-19PC,10710.0,12336.0,12028.0,11523.0,12041.0
JF-FI-19PC,10979.0,12456.0,12398.0,11718.0,12319.0
JF-FI-19PC,11142.0,12471.0,12403.0,11806.0,12356.0
JF-FI-19PC,11403.0,12526.0,12411.0,11964.0,12424.0
JF-FI-19PC,12645.0,13839.0,13628.0,13242.0,13632.0
JF-FI-19PC,12957.0,14190.0,13844.0,13574.0,13881.0
JF-FI-19PC,13456.0,14647.0,14460.0,14052.0,14451.0
JF-FI-19PC,13783.0,15255.0,14708.0,14519.0,14779.0
JF-FI-19PC,14206.0,15812.0,15405.0,15009.0,15399.0
JF-FI-19PC,14568.0,16340.0,15986.0,15454.0,15988.0
JF-FI-19PC,15160.0,16711.0,16369.0,15936.0,16452.0
JF-FI-19PC,15825.0,17191.0,16838.0,16508.0,16901.0
JF-FI-19PC,16224.0,17633.0,17546.0,16928.0,17467.0
JF-FI-19PC,20432.0,22202.0,21972.0,21317.0,21923.0
JF-FI-19PC,20634.0,22510.0,21988.0,21572.0,22064.0
JF-FI-19PC,20926.0,22663.0,22408.0,21794.0,22417.0
145-887,6058.0,8840.0,8231.0,7449.0,8278.0
145-887,9705.0,11066.0,10375.0,10386.0,10583.0
145-887,10586.0,11590.0,11377.0,11088.0,11410.0
145-887,10829.0,12242.0,12025.0,11536.0,11993.0
145-887,12737.0,14032.0,13819.0,13384.0,13784.0
145-887,13225.0,15831.0,15217.0,14528.0,15170.0
145-887,13521.0,16225.0,15977.0,14873.0,15659.0
145-887,15174.0,17014.0,16592.0,16094.0,16646.0
MD02-2489,9743.0,10242.0,10116.0,9992.0,10129.0
MD02-2489,10425.0,10920.0,10789.0,10672.0,10783.0
MD02-2489,10402.0,11210.0,11051.0,10806.0,11050.0
V34-98,4838.0,5198.0,5052.0,5018.0,5062.0
Site_936,11285.0,12086.0,12026.0,11686.0,12002.0
Site_936,14898.0,16434.0,16357.0,15666.0,16188.0
Site_936,19046.0,20590.0,20359.0,19818.0,20358.0
LV27-2-4,2937.0,3227.0,3194.0,3082.0,3184.0
LV27-2-4,4912.0,5145.0,5062.0,5028.0,5072.0
LV27-2-4,7833.0,8208.0,8167.0,8020.0,8154.0
LV27-2-4,9402.0,9810.0,9665.0,9606.0,9689.0
LV27-2-4,11742.0,12201.0,12106.0,11972.0,12102.0
MD07-3076,23604.0,25293.0,24724.0,24448.0,24815.0
MD07-3076,26431.0,28573.0,28393.0,27502.0,28354.0
MD07-3076,27429.0,28864.0,28498.0,28146.0,28527.0
MD07-3076,28467.0,30616.0,30142.0,29542.0,30121.0
MD07-3076,29043.0,31433.0,31208.0,30238.0,31050.0
MD07-3076,30206.0,32446.0,32199.0,31326.0,32086.0
MD07-3076,30900.0,32943.0,32504.0,31922.0,32572.0
MD07-3076,31285.0,33283.0,32936.0,32284.0,32947.0
MD07-3076,32295.0,33607.0,33397.0,32951.0,33400.0
MD07-3076,32425.0,33665.0,33434.0,33045.0,33441.0
MD07-3076,32690.0,33841.0,33578.0,33266.0,33586.0
MD07-3076,32950.0,35019.0,34611.0,33984.0,34618.0
MD07-3076,33189.0,35317.0,35016.0,34253.0,35006.0
MD07-3076,33883.0,35885.0,35510.0,34884.0,35470.0
MD12-3396Cq,5892.0,7837.0,7441.0,6864.0,7416.0
MD12-3396Cq,8877.0,10421.0,10360.0,9649.0,10241.0
MD12-3396Cq,9387.0,11671.0,11049.0,10529.0,11018.0
MD12-3396Cq,9913.0,12064.0,11830.0,10988.0,11555.0
MD12-3396Cq,10971.0,12716.0,12413.0,11844.0,12450.0
MD12-3396Cq,13517.0,15606.0,15217.0,14562.0,15130.0
MD12-3396Cq,18551.0,24891.0,24054.0,21721.0,23568.0
MD12-3396Cq,26558.0,30638.0,29297.0,28598.0,29491.0
MD12-3396Cq,46.0,1285.0,950.0,666.0,1051.0
MD12-3396Cq,46.0,1285.0,950.0,666.0,1051.0
MD12-3396Cq,317.0,2217.0,1881.0,1267.0,1913.0
MD12-3396Cq,399.0,2730.0,2424.0,1564.0,2256.0
