id,Calendar_age,Calendar_age_error,Reservoir_derived_14C_age,Reservoir_derived_14C_error
MD12-3396Cq,14603,277,13109,137
MD12-3396Cq,14603,277,13109,137
MD12-3396Cq,14906,307,13412,132
MD12-3396Cq,15805,488,14399,144
MD12-3396Cq,17652,458,15517,173
MD12-3396Cq,18034,353,16267,176
MD12-3396Cq,18455,308,16106,205
MD12-3396Cq,18642,330,17039,190
MD12-3396Cq,19594,713,17833,200
MD12-3396Cq,19594,713,17833,200
MD12-3396Cq,21381,919,18879,235
MD12-3396Cq,22381,1041,19992,266
MD12-3396Cq,25465,959,22688,356
MD12-3396Cq,25906,842,23494,390
MD12-3396Cq,26003,887,22244,340
MD04-2829CQ,18484.96095,200,16602.57143,150
MD04-2829CQ,19380.58774,200,17196.90625,150
MD04-2829CQ,20297.81212,200,17920.5,150
MD04-2829CQ,20921.08944,200,18619.5,150
MD04-2829CQ,22986.89602,200,20384.61538,150
MD04-2829CQ,23400.46384,200,20665.33333,150
MD04-2829CQ,25172.45686,200,22292.25,150
MD04-2829CQ,27921.50549,200,24688,150
MD04-2829CQ,28981.67621,200,26045.34783,150
gh02-1030,10166,61,9840,40
gh02-1030,10650,87,10240,60
gh02-1030,11068.5,78,10510,60
gh02-1030,11288,71,10690,60
gh02-1030,11721,100,10950,60
gh02-1030,13882,104,12900,70
gh02-1030,14272,97,13270,70
gh02-1030,14432,121,13060,70
gh02-1030,14913,65,13470,40
gh02-1030,16867,243,15090,50
gh02-1030,16976,78,15010,80
gh02-1030,17124,66,15140,60
gh02-1030,18517,87,16380,60
gh02-1030,20100,102,17780,70
gh02-1030,21762,204,19130,180
BO04-PC11,2731,39,3180,40
BO04-PC11,8690,62,8430,40
BO04-PC11,13360,62,12120,60
BO04-PC11,18482,78,16640,60
BO04-PC11,19071,97,17210,80
AII125-8-55,2729,31,3420,35
AII125-8-55,4343,50,4710,40
AII125-8-55,5463,54,5610,45
AII125-8-56,5483,63,5630,60
AII125-8-56,9540,79,9355,70
AII125-8-56,10035,101,9705,75
AII125-8-56,10579,126,10125,80
AII125-8-56,11753,120,10945,75
AII125-8-56,12539,92,11490,90
AII125-8-56,13393,85,12395,80
AII125-8-56,14864,146,13400,90
AII125-8-56,15245,128,13685,100
AII125-8-56,16408,131,14580,100
AII125-8-56,16786,121,14870,100
B34-91,19457,101,17200,80
Nesmeyanov25-1-GGC15,19733,99,17650,80
Nesmeyanov25-1-GGC18,18163,144,16250,120
Nesmeyanov25-1-GGC20,19367,119,17350,100
Nesmeyanov25-1-GGC27,18695,223,16750,200
KNR140-26GGC,19185,118,16650,100
KNR140-43GGC,21250,140,18350,95
KNR140-50GGC,12578,45,11200,50
KNR140-51GGC,12694,51,11350,65
KNR140-66GGC,12923,57,11600,50
KNR140-01JPC,12869,71,11550,70
KNR140-12JPC,12290,87,10950,55
KNR140-12JPC,18208,84,15750,75
KNR140-22JPC,18161,106,15700,95
KNR140-02JPC,12365,193,11050,160
HU89038-8PC,17079,69,14800,60
HU89038-8PC,19247,110,16700,90
OCE326-GGC5,17025,75,14750,65
64-480,19617,159,17000,130
KNR73-3PC,3290,22,3555,15
KNR73-3PC,6909,30,6620,25
KNR73-3PC,17001,96,14727.5,80
KNR73-3PC,25752,186,22380,190
KNR73-3PC,28878,269,25520,250
KNR73-4PC,5323,21,5170,15
KNR73-4PC,6753,32,6487.5,25
KNR73-4PC,13332,49,12010,45
KNR73-4PC,18019,77,15550,75
KNR73-4PC,24029,150,20830,140
KNR73-4PC,26781,142,23365,120
KNR73-6PG,19189,85,16650,65
ME0005-24JC,17721,98,15300,70
ME0005-24JC,21327,144,18400,95
PLDS-007G,16272,91,14150,70
PLDS-007G,18932,129,16425,120
PLDS-007G,20436,141,17675,120
RNDB-PC11,13963,66,13100,50
RNDB-PC13,10714,64,10450,40
RNDB-PC13,13846,89,13000,70
RNDB-PC13,13902,61,13050,50
S67-FFC15,13329,203,12000,190
S67-FFC15,25185,228,21800,210
VNTR01-10GC,16303,70,14175,55
VNTR01-10GC,25617,88,22200,90
KNR140-39GGC,1364,39,1980,35
KNR140-39GGC,6907,49,6620,40
KNR140-39GGC,12696,35,11350,50
KNR140-39GGC,19487,94,16900,75
KNR140-37JPC,18209,94,15750,80
KNR140-37JPC,21121,120,18250,95
KNR140-37JPC,24537,155,21250,120
KNR140-37JPC,27272.5,215,23900,250
KNR140-12JPC,17252,94,14950,80
KNR140-12JPC,18964.5,142,16450,130
KNR178-2GC,19431,69,16850,60
KNR178-2GC,20239,81,17500,70
KNR178-2GC,20352,65,17600,60
KNR178-2GC,21256,95,18350,70
KNR197-10-CDH42,17717,125,15300,95
KNR197-10-CDH42,18319,90,15850,75
KNR197-10-CDH42,19551,127,16950,100
KNR197-10-CDH42,19934,81,17250,65
KNR197-10-CDH42,21407,217,18450,160
KNR197-10-GGC17,14915,85,13100,60
KNR197-10-GGC17,20460,43,17700,40
KNR31GPC5,12421.5,375,11150,310
OCE326-GGC14,13844,90,12450,70
OCE326-GGC14,14106,89,12650,60
OCE326-GGC14,14257,98,12750,55
OCE326-GGC14,15557,101,13600,75
146-893A,1007,60,1850,60
146-893A,1721,86,2520,70
146-893A,2988,89,3555,70
146-893A,4577,73,4800,50
146-893A,6197,77,6200,70
146-893A,8294,99,8235,90
146-893A,9362,184,9100,150
146-893A,10647,130,10080,80
146-893A,10855,126,10210,90
146-893A,10925,101,10260,70
146-893A,12913,230,11810,240
146-893A,13430,74,12340,70
146-893A,14331,265,12990,170
146-893A,16412,170,14490,130
146-893A,17099,291,15040,230
146-893A,17725,172,15550,140
146-893A,18917,212,16630,190
146-893A,19607,176,17220,140
146-893A,28647,270,25530,260
DAPC2,3672,200,3740,55
DAPC2,9238,200,8590,90
DAPC2,11833.17099,200,10830,90
DAPC2,12760.90992,200,11380,110
DAPC2,15379.19292,200,13410,130
DAPC2,16004.95015,200,14400,110
DAPC2,16148.09016,200,14900,110
DAPC2,16410.39673,200,15330,100
DAPC2,16562.53209,200,15390,130
DAPC2,16996.02111,200,15400,170
DAPC2,17155.16235,200,15560,140
DAPC2,18037.76161,200,16430,130
DAPC2,19532.75967,200,17310,130
DAPC2,20177.08224,200,17870,130
DAPC2,22424.33543,200,19730,140
DAPC2,22974.25421,200,20280,150
DAPC2,23320.09804,200,20450,170
DAPC2,23929.50001,200,21410,200
DAPC2,25015.09809,200,21860,190
DAPC2,25646.69853,200,23660,210
DAPC2,26270.51349,200,23950,220
MV99-GC38,11460,25,11450,35
MV99-GC38,11550,25,11340,35
MV99-GC38,11700,30,11910,35
MV99-GC38,12570,326,11875,30
MV99-GC38,13620,175,13030,30
MV99-GC38,13910,95,13090,30
MV99-GC38,14380,75,13715,40
MV99-GC38,14490,116.5,13895,30
MV99-GC38,14580,105,13755,30
MV99-GC38,14700,50,13845,30
MV99-GC38,15550,365,14630,40
MV99-GC38,16640,350,15090,40
MV99-GC38,17100,205,15300,30
MV99-GC38,18190,310,15735,40
MV99-GC38,18940,280,16210,40
MV99-GC38,19940,316,17415,40
MV99-GC38,20760,265,18270,50
MV99-GC38,22250,375,19440,50
MV99-GC38,24550,515,21210,60
MV99-GC38,31150,225.5,26360,190
MV99-MC17/GC32/PC10,12430,210,12825,45
MV99-MC17/GC32/PC10,13200,385,13035,50
MV99-MC17/GC32/PC10,13440,115,12820,50
MV99-MC17/GC32/PC10,13630,85,13045,35
MV99-MC17/GC32/PC10,13810,70,13055,35
MV99-MC17/GC32/PC10,13940,109.5,13425,45
MV99-MC17/GC32/PC10,14100,50,13335,50
MV99-MC17/GC32/PC10,14260,55,13380,60
MV99-MC17/GC32/PC10,14430,130.5,13285,35
MV99-MC17/GC32/PC10,14600,166.5,13155,35
MV99-MC17/GC32/PC10,14860,149,14330,40
MV99-MC17/GC32/PC10,16430,1061,13625,40
MV99-MC17/GC32/PC10,17230,1569,16530,70
MV99-MC17/GC32/PC10,17920,1746,17200,70
MV99-MC17/GC32/PC10,18710,1240,15160,60
MV99-MC17/GC32/PC10,19480,745,16720,70
MV99-MC17/GC32/PC10,20250,298,17440,60
MV99-MC17/GC32/PC10,22300,800,19580,80
MV99-MC17/GC32/PC10,25680,1533,22940,190
MV99-MC17/GC32/PC10,11950,115,12230,45
W8709A-13,8158,110,8200,40
W8709A-13,8680,103,8680,60
W8709A-13,9016.5,100,8895,40
W8709A-13,9565.5,98,9400,80
W8709A-13,9837,102,9580,70
W8709A-13,10365,117,9940,70
W8709A-13,11288,122,10610,80
W8709A-13,11751.5,84,11005,40
W8709A-13,11913,127,10985,40
W8709A-13,12619,130,11615,45
W8709A-13,13043,73,12035,45
W8709A-13,13510,105,12510,60
W8709A-13,14260,131,13080,35
W8709A-13,15348,116,13770,35
W8709A-13,15659,107,14015,35
W8709A-13,16280,70,14490,35
W8709A-13,16536,56,14690,35
W8709A-13,16782,79,14840,45
W8709A-13,17205,111,15260,35
W8709A-13,17532.5,76,15500,40
W8709A-13,17745,168,15620,35
W8709A-13,20368,283,17940,45
W8709A-13,22355.5,230,19640,60
KNR159-5-78GGC,640,10,1235,15
KNR159-5-78GGC,6012,24,5810,15
KNR159-5-78GGC,7808,22,7530,20
KNR159-5-78GGC,9312,31,8800,25
KNR159-5-78GGC,11364,38,10390,20
KNR159-5-78GGC,13869,49,12475,35
KNR159-5-78GGC,14141,53,12685,35
KNR159-5-78GGC,15336,55,13435,40
KNR159-5-78GGC,15801,50,13785,35
KNR159-5-78GGC,16189,66,14085,54
KNR159-5-78GGC,17267,74,14960,60
KNR159-5-78GGC,17367,96,15040,70
KNR159-5-78GGC,17808,61,15360,50
KNR159-5-78GGC,18184,67,15723,72
KNR159-5-78GGC,18676,50,16160,60
KNR159-5-78GGC,19248,86,16700,70
KNR159-5-78GGC,19594,76,16990,60
MD77-176,2651,146,3060,60
MD77-176,5294,157.5,5120,70
MD77-176,7276,149,6960,80
MD77-176,10016,144,9350,45
MD77-176,12107,221.25,10950,90
MD77-176,12861,148,11450,90
MD77-176,14605,271.25,12910,110
MD77-176,17227,232.75,14880,70
MD77-176,18773,199.5,16420,70
MD77-176,19456,253,16660,120
MD77-176,26722,283.75,23420,140
146-893A,15518,377,13800,280
146-893A,16670,169,14690,140
146-893A,16722,217,14740,180
146-893A,16976,191,14940,160
146-893A,17372,80,15280,60
146-893A,17974,145,15750,130
146-893A,18053,155,15830,140
LV29-114-3,9650,71,9630,50
LV29-114-3,10833,86,10465,50
LV29-114-3,13113,54,12290,55
LV29-114-3,14147,89,13180,60
LV29-114-3,15953,105,14400,80
LV29-114-3,16890,94,15130,80
SO178-13-6,14532,176,13390,100
SO178-13-6,15985,61,14420,45
SO178-13-6,16850,73,15090,60
SO201-2-101,13653,63,12600,55
SO201-2-101,16918,68,14950,60
SO201-2-101,19629,147,17310,120
SO201-2-12KL,11266,83,10800,65
SO201-2-12KL,13321,55,12500,50
SO201-2-12KL,13771,74,12900,50
SO201-2-12KL,15291,74,13900,55
SO201-2-77,11115,41,10450,40
SO201-2-77,12579,45,11500,50
SO201-2-77,14567,101,13200,45
SO201-2-85,11110,70,10450,55
SO201-2-85,15489,105,13850,80
SO201-2-85,19674,80,17350,65
SO202/1_18-6,11657,40,10850,25
SO202/1_18-6,11802,81,10950,55
SO202/1_18-6,12116.5,111,11150,65
SO202/1_18-6,12866,63,11850,60
JT96-09PC,10013,97,9760,70
JT96-09PC,12463,134,11500,110
JT96-09PC,13079,122,12460,120
JT96-09PC,13259,87,12640,90
