id,cal_age,cal_sigma,rad_res,rad_res_sd,mid1,mid2,wmn,med,mode,mid1_resage,mid2_resage,wmn_resage,med_resage,mode_resage,Latitude,Longitude,group
RAPiD-17-5P,10727,150,9862,39,9249,9431,9378,9490,9586,402,422,439,370,291,61.48,-19.54,Northeast Atlantic
MD04-2829CQ,10900,200,9794,150,9553,9544,9480,9577,9589,220,278,333,222,223,58.9,-9.6,Northeast Atlantic
RAPID-12-1K,11235,200,10356,35,9679,9640,9604,9840,10022,553,706,824,513,372,62.09,-17.82,Northeast Atlantic
RAPiD-15-4P,11410,150,10358,42,9666,9862,9714,9998,10024,420,484,540,366,344,62.29,-17.13,Northeast Atlantic
RAPiD-17-5P,11501,150,10516,39,9805,9906,9882,10025,10031,500,593,693,491,486,61.48,-19.54,Northeast Atlantic
RAPiD-10-1P,11550,200,10568,40,9658,10004,10091,10037,10034,519,575,430,528,530,62.98,-17.59,Northeast Atlantic
MD04-2829CQ,11620,200,10965,150,10122,10066,10058,10057,10035,890,932,622,894,898,58.9,-9.6,Northeast Atlantic
RAPID-12-1K,11630,200,10577,36,10125,10070,10054,10060,10035,460,503,511,511,530,62.09,-17.82,Northeast Atlantic
RAPiD-15-4P,11653,150,10796,39,10098,10021,10026,10068,10041,698,788,686,722,740,62.29,-17.13,Northeast Atlantic
RAPiD-17-5P,11683,101,10783,39,10101,10022,9980,10079,10073,690,752,827,700,709,61.48,-19.54,Northeast Atlantic
MD95-2007,11775,68,10664,65,10140,10158,10127,10130,10125,528,513,499,529,533,57.5,-8.4,Northeast Atlantic
DAPC2,11833,200,10830,90,10192,10226,10053,10182,10211,642,599,468,648,669,58.97,-9.61,Northeast Atlantic
RAPiD-15-4P,11934,101,10965,40,10238,10242,10239,10245,10210,722,733,666,714,722,62.29,-17.13,Northeast Atlantic
RAPiD-10-1P,12120,52,11566,40,10354,10309,10290,10353,10356,1212,1238,1294,1211,1212,62.98,-17.59,Northeast Atlantic
RAPiD-15-4P,12208,151,11808,41,10217,10568,10637,10367,10367,1446,1250,1086,1439,1439,62.29,-17.13,Northeast Atlantic
RAPiD-17-5P,12317,300,11897,42,10373,10778,10794,10383,10369,940,1121,1084,1504,1527,61.48,-19.54,Northeast Atlantic
MD95-2002,12318,223,11190,100,10425,10705,10962,10382,10370,767,506,442,790,807,47.45,-8.53,Northeast Atlantic
NA87-22,12327,586,11320,90,9610,10610,11421,10391,10367,576,740,621,900,952,55.5,-14.7,Northeast Atlantic
RAPiD-10-1P,12340,101,12256,40,10399,10570,10516,10382,10373,1854,1688,1655,1868,1875,62.98,-17.59,Northeast Atlantic
MD03-2697,12377,531,11920,60,10520,10624,11048,10404,10370,1192,1307,1309,1491,1551,42.16,-9.7,Northeast Atlantic
RAPiD-15-4P,12382,200,11650,50,10480,10750,10834,10395,10372,735,896,983,1239,1271,62.29,-17.13,Northeast Atlantic
MD01-2461,12396,117,11032,39,10445,10634,10783,10391,10371,596,416,245,631,652,51.75,-12.92,Northeast Atlantic
MD95-2007,12430,106,11353,62,10450,10600,10505,10399,10374,914,726,737,935,962,57.5,-8.4,Northeast Atlantic
RAPiD-10-1P,12470,101,12379,42,10460,10642,10675,10435,10372,1922,1730,1751,1938,1995,62.98,-17.59,Northeast Atlantic
MD95-2007,12482,104,11299,66,10466,10703,10808,10456,10372,837,644,466,844,874,57.5,-8.4,Northeast Atlantic
