id,Reservoir_derived_14C_age,Reservoir_derived_14C_error,Calendar_age,Calendar_age_error
MD99-2334,14419,150,15947,200
SHAK10-10K,14330,150,15947,200
SHAK14-4G,14200,150,15947,200
SHAK03-6K,14172,150,15947,200
SHAK05-3K,14000,150,15947,200
MD99-2334,15093,150,17420,200
SHAK10-10K,15067,150,17420,200
SHAK14-4G,15134,150,17420,200
SHAK03-6K,14584,150,17420,200
MD99-2334,17765,150,20262,200
SHAK10-10K,17810,150,20262,200
SHAK14-4G,17514,150,20262,200
SHAK03-6K,17404,150,20262,200
SHAK05-3K,17787,150,20262,200
MD99-2334,19170,150,21783,200
SHAK14-4G,18817,150,21783,200
SHAK03-6K,18782,150,21783,200
SHAK05-3K,18864,150,21783,200
MD99-2334,20725,150,23410,200
SHAK03-6K,20196,150,23410,200
MD99-2334,21100,150,24298,200
SHAK03-6K,20742,150,24298,200
MD99-2334,22293,150,25725,200
