id,Calendar_age,Calendar_age_error,Reservoir_Min_Range_at_95.0%,Reservoir_Max_Range_at_95.0%,Mode,MidRange,Median
DAPC2,15379,200,-869.0,862.0,524.0,-4.0,532.0
94-609,15393,384,-477.0,2674.0,2099.0,1098.0,2099.0
MD04-2829CQ,15400,200,75.0,1926.0,1573.0,1000.0,1576.0
MD04-2845,15533,316,-349.0,1885.0,1491.0,768.0,1466.0
RAPiD-17-5P,15555,301,-454.0,1474.0,1165.0,510.0,1107.0
NA87-22,15598,444,232.0,3176.0,2671.0,1704.0,2624.0
MD95-2002,15603,350,10.0,2230.0,1878.0,1120.0,1799.0
MD95-2002,15778,391,-769.0,2212.0,1644.0,722.0,1647.0
RAPiD-10-1P,15850,500,-811.0,2332.0,1697.0,760.0,1725.0
MD99-2331,15905,565,-2305.0,1559.0,833.0,-373.0,866.0
DAPC2,16005,200,-253.0,1385.0,1082.0,566.0,1084.0
RAPiD-17-5P,16039,301,252.0,2119.0,1721.0,1186.0,1744.0
MD99-2331,16040,601,-2784.0,1282.0,572.0,-751.0,561.0
MD01-2461,16111,526,-1119.0,2329.0,1741.0,605.0,1717.0
DAPC2,16148,200,147.0,1781.0,1495.0,964.0,1487.0
94-609,16149,577,-767.0,3705.0,2912.0,1469.0,2928.0
RAPiD-17-5P,16317,301,268.0,2127.0,1705.0,1198.0,1763.0
DAPC2,16410,200,385.0,2023.0,1721.0,1204.0,1731.0
MD99-2331,16437,702,-3510.0,1105.0,149.0,-1202.0,287.0
NA87-22,16535,661,-1648.0,2891.0,2066.0,622.0,2102.0
MD01-2461,16547,200,-299.0,1096.0,837.0,398.0,839.0
DAPC2,16563,200,216.0,2005.0,1684.0,1110.0,1691.0
RAPiD-17-5P,16728,351,-19.0,2349.0,1937.0,1165.0,1950.0
MD99-2331,16872,703,-2740.0,2004.0,1322.0,-368.0,1222.0
94-609,16899,796,-1658.0,3736.0,2964.0,1039.0,2810.0
MD01-2461,16970,787,-2611.0,2406.0,1695.0,-102.0,1524.0
DAPC2,16996,200,-219.0,1794.0,1443.0,788.0,1421.0
DAPC2,17155,200,-198.0,1815.0,1437.0,808.0,1446.0
NA87-22,17163,832,-1979.0,3520.0,2245.0,770.0,2532.0
MD99-2331,17264,582,-2462.0,1535.0,604.0,-464.0,838.0
MD95-2002,17473,230,-541.0,1264.0,853.0,362.0,910.0
MD95-2002,17519,234,-993.0,1292.0,853.0,150.0,881.0
MD01-2461,17520,200,-557.0,1019.0,667.0,231.0,699.0
GIK23415-9,17651,1013,-4201.0,2460.0,1326.0,-870.0,1283.0
MD99-2331,17704,336,-1239.0,1460.0,1061.0,110.0,1037.0
MD01-2461,17706,990,-4705.0,1757.0,710.0,-1474.0,626.0
MD04-2829CQ,17820,200,186.0,2314.0,2009.0,1250.0,1997.0
RAPiD-17-5P,17932,401,-833.0,2019.0,1734.0,593.0,1561.0
DAPC2,18038,200,-71.0,2043.0,1751.0,986.0,1719.0
RAPiD-17-5P,18050,401,-822.0,2041.0,1665.0,610.0,1629.0
MD99-2331,18177,362,-1145.0,1806.0,1499.0,330.0,1296.0
NA87-22,18412,1073,-3528.0,3800.0,3032.0,136.0,2355.0
MD04-2829CQ,18485,200,-399.0,1852.0,1409.0,726.0,1412.0
MD01-2461,18772,1143,-4374.0,3143.0,1153.0,-616.0,1466.0
94-609,18892,1357,-5739.0,3508.0,1405.0,-1116.0,1532.0
MD04-2829CQ,19381,200,-477.0,1499.0,1173.0,511.0,1142.0
MD01-2461,19427,200,-1893.0,-301.0,-497.0,-1097.0,-558.0
DAPC2,19533,200,-434.0,1477.0,1085.0,522.0,1113.0
NA87-22,19644,1071,-4470.0,3434.0,1618.0,-518.0,1728.0
SU92-03,19889,755,-4068.0,1413.0,291.0,-1328.0,259.0
MD01-2461,20012,1062,-4285.0,3129.0,1608.0,-578.0,1581.0
DAPC2,20177,200,-411.0,1514.0,1188.0,552.0,1179.0
GIK23415-9,20184,1061,-5087.0,2653.0,1261.0,-1217.0,1093.0
MD01-2461,20254,200,-2891.0,-1304.0,-1555.0,-2098.0,-1573.0
MD04-2829CQ,20298,200,-540.0,1495.0,1155.0,478.0,1133.0
MD04-2845,20308,745,-3846.0,1458.0,629.0,-1194.0,443.0
94-609,20626,1649,-7767.0,4465.0,1656.0,-1651.0,2018.0
MD01-2461,20709,918,-3743.0,2699.0,1114.0,-522.0,1447.0
NA87-22,20850,818,-2993.0,3180.0,1778.0,94.0,1984.0
MD04-2829CQ,20921,200,-212.0,1665.0,1223.0,726.0,1264.0
MD01-2461,20939,200,-1385.0,91.0,-366.0,-647.0,-254.0
RAPiD-17-5P,21373,701,-3142.0,1574.0,503.0,-784.0,625.0
MD01-2461,21536,724,-2806.0,2271.0,1307.0,-268.0,1339.0
NA87-22,21757,598,-1734.0,3007.0,2326.0,636.0,2239.0
MD01-2461,21784,200,-1246.0,577.0,376.0,-334.0,348.0
94-609,21880,1639,-8535.0,4310.0,2573.0,-2112.0,2118.0
GIK23415-9,21919,711,-2784.0,2643.0,1994.0,-70.0,1800.0
94-609,22126,1619,-7903.0,4642.0,3139.0,-1630.0,2464.0
MD95-2002,22295,402,-2073.0,1071.0,102.0,-501.0,484.0
94-609,22373,1591,-7318.0,4969.0,3686.0,-1174.0,2780.0
DAPC2,22424,200,-558.0,1665.0,1066.0,554.0,1196.0
MD95-2002,22505,361,-1514.0,1477.0,672.0,-18.0,782.0
MD99-2331,22625,376,-1572.0,1761.0,1013.0,94.0,1040.0
MD95-2002,22823,322,-751.0,1814.0,1363.0,532.0,1296.0
MD99-2331,22953,348,849.0,3874.0,3468.0,2362.0,3249.0
MD01-2461,22957,496,-1965.0,2004.0,1407.0,20.0,1126.0
DAPC2,22974,200,-535.0,1672.0,1410.0,568.0,1227.0
MD04-2829CQ,22987,200,-441.0,1768.0,1162.0,664.0,1311.0
MD99-2331,23035,344,-1023.0,2438.0,1617.0,708.0,1726.0
MD95-2002,23039,305,-366.0,1979.0,1301.0,806.0,1440.0
